mnth,hr,weekday,workingday,atemp,hum,is_weekend_leisure
1,18,2,1,0.2576,0.48,0
1,19,2,1,0.2576,0.48,0
1,20,2,1,0.2576,0.48,0
1,21,2,1,0.2727,0.64,0
1,22,2,1,0.2576,0.64,0
1,23,2,1,0.2273,0.69,0
1,0,3,1,0.2576,0.64,0
1,1,3,1,0.197,0.74,0
1,2,3,1,0.197,0.74,0
1,4,3,1,0.2273,0.48,0
1,5,3,1,0.2273,0.47,0
1,6,3,1,0.197,0.47,0
1,7,3,1,0.1818,0.43,0
1,8,3,1,0.1818,0.4,0
1,9,3,1,0.197,0.37,0
1,10,3,1,0.197,0.37,0
1,11,3,1,0.2273,0.33,0
1,12,3,1,0.2273,0.33,0
1,13,3,1,0.2576,0.3,0
1,14,3,1,0.2879,0.28,0
1,15,3,1,0.2879,0.28,0
1,16,3,1,0.3182,0.28,0
1,17,3,1,0.2273,0.38,0
1,18,3,1,0.2424,0.38,0
1,19,3,1,0.2576,0.38,0
1,20,3,1,0.2273,0.47,0
1,21,3,1,0.197,0.51,0
1,22,3,1,0.197,0.55,0
1,23,3,1,0.2576,0.47,0
1,0,4,1,0.2424,0.55,0
1,1,4,1,0.2273,0.64,0
1,2,4,1,0.2273,0.64,0
1,4,4,1,0.197,0.64,0
1,5,4,1,0.1818,0.69,0
1,6,4,1,0.1667,0.63,0
1,7,4,1,0.2273,0.59,0
1,8,4,1,0.2273,0.59,0
1,9,4,1,0.2424,0.51,0
1,10,4,1,0.2576,0.47,0
1,11,4,1,0.2576,0.44,0
1,12,4,1,0.2879,0.35,0
1,13,4,1,0.2727,0.35,0
1,14,4,1,0.2727,0.36,0
1,15,4,1,0.2727,0.36,0
1,16,4,1,0.2576,0.38,0
1,17,4,1,0.2273,0.51,0
1,18,4,1,0.2273,0.51,0
1,19,4,1,0.2576,0.55,0
1,20,4,1,0.2121,0.51,0
1,21,4,1,0.2121,0.55,0
1,22,4,1,0.2121,0.51,0
1,23,4,1,0.197,0.59,0
1,0,5,1,0.197,0.64,0
1,1,5,1,0.197,0.69,0
1,2,5,1,0.197,0.69,0
1,4,5,1,0.2121,0.69,0
1,5,5,1,0.2727,0.55,0
1,6,5,1,0.2576,0.69,0
1,7,5,1,0.2121,0.69,0
1,8,5,1,0.197,0.51,0
1,9,5,1,0.1818,0.47,0
1,10,5,1,0.197,0.37,0
1,11,5,1,0.197,0.4,0
1,12,5,1,0.197,0.37,0
1,13,5,1,0.1818,0.37,0
1,14,5,1,0.197,0.4,0
1,15,5,1,0.2121,0.37,0
1,16,5,1,0.2121,0.37,0
1,17,5,1,0.2576,0.37,0
1,18,5,1,0.2273,0.4,0
1,19,5,1,0.197,0.55,0
1,20,5,1,0.2121,0.47,0
1,21,5,1,0.197,0.47,0
1,22,5,1,0.197,0.43,0
1,23,5,1,0.197,0.51,0
1,0,6,0,0.197,0.51,0
1,1,6,0,0.2121,0.55,0
1,2,6,0,0.2424,0.55,0
1,3,6,0,0.197,0.55,0
1,4,6,0,0.197,0.55,0
1,5,6,0,0.1667,0.74,0
1,6,6,0,0.1667,0.74,0
1,7,6,0,0.1818,0.74,0
1,8,6,0,0.1818,0.93,0
1,9,6,0,0.1818,0.93,0
1,10,6,0,0.197,0.8,1
1,11,6,0,0.1818,0.69,1
1,12,6,0,0.1818,0.59,1
1,13,6,0,0.1818,0.44,1
1,14,6,0,0.1667,0.32,1
1,15,6,0,0.1667,0.32,1
1,16,6,0,0.1364,0.29,1
1,17,6,0,0.1212,0.37,0
1,18,6,0,0.1212,0.39,0
1,19,6,0,0.1212,0.36,0
1,20,6,0,0.1212,0.36,0
1,21,6,0,0.1061,0.39,0
1,22,6,0,0.1061,0.36,0
1,23,6,0,0.0606,0.39,0
1,0,0,0,0.0758,0.42,0
1,1,0,0,0.0606,0.42,0
1,2,0,0,0.0606,0.46,0
1,3,0,0,0.0758,0.46,0
1,4,0,0,0.0909,0.53,0
1,5,0,0,0.0909,0.53,0
1,6,0,0,0.0909,0.49,0
1,7,0,0,0.0909,0.53,0
1,8,0,0,0.0909,0.49,0
1,9,0,0,0.0758,0.46,0
1,10,0,0,0.1061,0.43,1
1,11,0,0,0.1212,0.4,1
1,12,0,0,0.1364,0.37,1
1,13,0,0,0.1667,0.34,1
1,14,0,0,0.1818,0.32,1
1,15,0,0,0.197,0.35,1
1,16,0,0,0.1667,0.34,1
1,17,0,0,0.1515,0.37,0
1,18,0,0,0.1364,0.4,0
1,19,0,0,0.1364,0.43,0
1,20,0,0,0.1212,0.46,0
1,21,0,0,0.1061,0.46,0
1,22,0,0,0.1212,0.46,0
1,23,0,0,0.1364,0.5,0
1,0,1,1,0.1212,0.5,0
1,1,1,1,0.1212,0.5,0
1,2,1,1,0.1212,0.5,0
1,3,1,1,0.1212,0.5,0
1,4,1,1,0.1212,0.54,0
1,5,1,1,0.1061,0.54,0
1,6,1,1,0.1212,0.5,0
1,7,1,1,0.1212,0.5,0
1,8,1,1,0.1212,0.5,0
1,9,1,1,0.1212,0.5,0
1,10,1,1,0.1212,0.5,0
1,11,1,1,0.1364,0.47,0
1,12,1,1,0.1818,0.4,0
1,13,1,1,0.1818,0.4,0
1,14,1,1,0.197,0.4,0
1,15,1,1,0.197,0.4,0
1,16,1,1,0.2121,0.4,0
1,17,1,1,0.2273,0.4,0
1,18,1,1,0.197,0.4,0
1,19,1,1,0.1667,0.47,0
1,20,1,1,0.1667,0.5,0
1,21,1,1,0.1364,0.59,0
1,22,1,1,0.1515,0.59,0
1,23,1,1,0.1515,0.59,0
1,0,2,1,0.1667,0.59,0
1,1,2,1,0.1515,0.59,0
1,2,2,1,0.1515,0.55,0
1,5,2,1,0.1818,0.55,0
1,6,2,1,0.1818,0.55,0
1,7,2,1,0.2273,0.55,0
1,8,2,1,0.2121,0.51,0
1,9,2,1,0.197,0.51,0
1,10,2,1,0.2121,0.51,0
1,11,2,1,0.2121,0.47,0
1,12,2,1,0.2273,0.51,0
1,13,2,1,0.2273,0.59,0
1,14,2,1,0.2273,0.59,0
1,15,2,1,0.197,0.8,0
1,16,2,1,0.1515,0.86,0
1,17,2,1,0.1515,0.86,0
1,18,2,1,0.1818,0.93,0
1,19,2,1,0.2273,0.93,0
1,20,2,1,0.1515,0.93,0
1,21,2,1,0.197,0.86,0
1,22,2,1,0.1818,0.93,0
1,23,2,1,0.197,0.93,0
1,0,3,1,0.197,0.86,0
1,1,3,1,0.1818,0.86,0
1,2,3,1,0.1515,0.86,0
1,5,3,1,0.1515,0.86,0
1,6,3,1,0.1515,0.93,0
1,7,3,1,0.1515,0.69,0
1,8,3,1,0.1667,0.59,0
1,9,3,1,0.1364,0.59,0
1,10,3,1,0.1818,0.55,0
1,11,3,1,0.1818,0.51,0
1,12,3,1,0.1515,0.47,0
1,13,3,1,0.197,0.44,0
1,14,3,1,0.1818,0.47,0
1,15,3,1,0.1667,0.47,0
1,16,3,1,0.197,0.44,0
1,17,3,1,0.1818,0.47,0
1,18,3,1,0.1515,0.47,0
1,19,3,1,0.1515,0.47,0
1,20,3,1,0.1364,0.5,0
1,21,3,1,0.1364,0.55,0
1,22,3,1,0.1212,0.55,0
1,23,3,1,0.1061,0.59,0
1,0,4,1,0.1212,0.59,0
1,1,4,1,0.1212,0.5,0
1,2,4,1,0.1212,0.5,0
1,3,4,1,0.1212,0.5,0
1,4,4,1,0.1212,0.5,0
1,5,4,1,0.1212,0.5,0
1,6,4,1,0.1515,0.54,0
1,7,4,1,0.1515,0.54,0
1,8,4,1,0.1364,0.5,0
1,9,4,1,0.1212,0.5,0
1,10,4,1,0.1364,0.5,0
1,11,4,1,0.1667,0.44,0
1,12,4,1,0.1667,0.44,0
1,13,4,1,0.197,0.41,0
1,14,4,1,0.197,0.41,0
1,15,4,1,0.2121,0.38,0
1,16,4,1,0.2121,0.38,0
1,17,4,1,0.1818,0.4,0
1,18,4,1,0.1818,0.4,0
1,19,4,1,0.1515,0.47,0
1,20,4,1,0.1515,0.47,0
1,21,4,1,0.1212,0.46,0
1,22,4,1,0.1212,0.46,0
1,23,4,1,0.1364,0.5,0
1,0,5,1,0.1364,0.5,0
1,1,5,1,0.1212,0.54,0
1,2,5,1,0.1212,0.54,0
1,3,5,1,0.1364,0.54,0
1,5,5,1,0.1364,0.54,0
1,6,5,1,0.1818,0.54,0
1,7,5,1,0.1212,0.74,0
1,8,5,1,0.1667,0.68,0
1,9,5,1,0.1515,0.69,0
1,10,5,1,0.1818,0.55,0
1,11,5,1,0.1667,0.51,0
1,12,5,1,0.197,0.44,0
1,13,5,1,0.197,0.37,0
1,14,5,1,0.2121,0.41,0
1,15,5,1,0.2424,0.38,0
1,16,5,1,0.2424,0.41,0
1,17,5,1,0.2273,0.41,0
1,18,5,1,0.2576,0.47,0
1,19,5,1,0.197,0.59,0
1,20,5,1,0.2424,0.59,0
1,21,5,1,0.2273,0.69,0
1,22,5,1,0.2273,0.69,0
1,23,5,1,0.2424,0.55,0
1,0,6,0,0.2424,0.55,0
1,1,6,0,0.197,0.59,0
1,2,6,0,0.197,0.59,0
1,3,6,0,0.2273,0.59,0
1,4,6,0,0.2273,0.59,0
1,5,6,0,0.2273,0.59,0
1,6,6,0,0.1667,0.63,0
1,7,6,0,0.2121,0.63,0
1,8,6,0,0.1515,0.63,0
1,9,6,0,0.1818,0.64,0
1,10,6,0,0.197,0.59,1
1,11,6,0,0.197,0.55,1
1,12,6,0,0.2273,0.48,1
1,13,6,0,0.2576,0.38,1
1,14,6,0,0.2879,0.39,1
1,15,6,0,0.3182,0.36,1
1,16,6,0,0.3333,0.34,1
1,17,6,0,0.303,0.36,0
1,18,6,0,0.2879,0.45,0
1,19,6,0,0.303,0.39,0
1,20,6,0,0.303,0.39,0
1,21,6,0,0.303,0.39,0
1,22,6,0,0.3182,0.42,0
1,23,6,0,0.2879,0.45,0
1,0,0,0,0.303,0.56,0
1,1,0,0,0.2727,0.56,0
1,2,0,0,0.2879,0.56,0
1,3,0,0,0.2727,0.69,0
1,4,0,0,0.2576,0.56,0
1,5,0,0,0.2576,0.56,0
1,6,0,0,0.2576,0.56,0
1,7,0,0,0.2121,0.56,0
1,8,0,0,0.2121,0.55,0
1,9,0,0,0.2121,0.51,0
1,10,0,0,0.2121,0.51,1
1,11,0,0,0.2273,0.44,1
1,12,0,0,0.2121,0.41,1
1,13,0,0,0.2273,0.35,1
1,14,0,0,0.2727,0.36,1
1,15,0,0,0.2424,0.38,1
1,16,0,0,0.2273,0.38,1
1,17,0,0,0.2121,0.37,0
1,18,0,0,0.2121,0.4,0
1,19,0,0,0.197,0.47,0
1,20,0,0,0.197,0.47,0
1,21,0,0,0.197,0.51,0
1,22,0,0,0.2121,0.49,0
1,23,0,0,0.2273,0.4,0
1,0,1,0,0.197,0.47,0
1,1,1,0,0.197,0.44,0
1,2,1,0,0.1667,0.43,0
1,3,1,0,0.1818,0.43,0
1,4,1,0,0.197,0.43,0
1,5,1,0,0.197,0.43,0
1,6,1,0,0.1818,0.43,0
1,7,1,0,0.1818,0.5,0
1,8,1,0,0.1515,0.47,0
1,9,1,0,0.1515,0.47,0
1,10,1,0,0.1515,0.5,1
1,11,1,0,0.1515,0.55,1
1,12,1,0,0.197,0.47,1
1,13,1,0,0.197,0.47,1
1,14,1,0,0.2121,0.43,1
1,15,1,0,0.2121,0.47,1
1,16,1,0,0.2121,0.47,1
1,17,1,0,0.197,0.51,0
1,18,1,0,0.1667,0.55,0
1,19,1,0,0.1818,0.59,0
1,20,1,0,0.1515,0.8,0
1,21,1,0,0.1515,0.8,0
1,22,1,0,0.1212,0.93,0
1,23,1,0,0.1364,0.86,0
1,12,2,1,0.1818,0.86,0
1,13,2,1,0.197,0.86,0
1,14,2,1,0.2273,0.8,0
1,15,2,1,0.2273,0.87,0
1,16,2,1,0.2273,0.87,0
1,17,2,1,0.2273,0.82,0
1,18,2,1,0.2273,0.8,0
1,19,2,1,0.2273,0.8,0
1,20,2,1,0.2727,0.87,0
1,21,2,1,0.2424,0.93,0
1,22,2,1,0.2576,0.93,0
1,23,2,1,0.2727,0.93,0
1,0,3,1,0.2727,0.93,0
1,1,3,1,0.2273,0.93,0
1,2,3,1,0.2273,0.93,0
1,4,3,1,0.2273,0.93,0
1,5,3,1,0.2576,0.93,0
1,6,3,1,0.2576,0.93,0
1,7,3,1,0.2576,0.92,0
1,8,3,1,0.2576,0.93,0
1,9,3,1,0.2576,0.93,0
1,10,3,1,0.2727,0.93,0
1,11,3,1,0.303,0.87,0
1,12,3,1,0.3182,0.81,0
1,13,3,1,0.4091,0.62,0
1,14,3,1,0.4091,0.58,0
1,15,3,1,0.4091,0.54,0
1,16,3,1,0.3939,0.58,0
1,17,3,1,0.3333,0.57,0
1,18,3,1,0.3182,0.61,0
1,19,3,1,0.2879,0.57,0
1,20,3,1,0.303,0.49,0
1,21,3,1,0.2879,0.49,0
1,22,3,1,0.303,0.52,0
1,23,3,1,0.2727,0.52,0
1,0,4,1,0.2273,0.56,0
1,1,4,1,0.2727,0.56,0
1,2,4,1,0.2727,0.56,0
1,3,4,1,0.2576,0.56,0
1,4,4,1,0.2576,0.56,0
1,5,4,1,0.2273,0.6,0
1,6,4,1,0.2121,0.6,0
1,7,4,1,0.2121,0.55,0
1,8,4,1,0.2121,0.55,0
1,9,4,1,0.2273,0.52,0
1,10,4,1,0.2273,0.48,0
1,11,4,1,0.2727,0.45,0
1,12,4,1,0.3333,0.42,0
1,13,4,1,0.2879,0.45,0
1,14,4,1,0.303,0.45,0
1,15,4,1,0.3182,0.45,0
1,16,4,1,0.303,0.49,0
1,17,4,1,0.3182,0.49,0
1,18,4,1,0.2576,0.56,0
1,19,4,1,0.2273,0.56,0
1,20,4,1,0.2424,0.6,0
1,21,4,1,0.2273,0.6,0
1,22,4,1,0.2121,0.65,0
1,23,4,1,0.2121,0.65,0
1,0,5,1,0.2273,0.7,0
1,1,5,1,0.2273,0.7,0
1,2,5,1,0.2424,0.75,0
1,3,5,1,0.2121,0.8,0
1,4,5,1,0.2576,0.87,0
1,5,5,1,0.197,0.6,0
1,6,5,1,0.2121,0.55,0
1,7,5,1,0.1818,0.51,0
1,8,5,1,0.1818,0.47,0
1,9,5,1,0.1818,0.51,0
1,10,5,1,0.1667,0.47,0
1,11,5,1,0.1818,0.41,0
1,12,5,1,0.1818,0.27,0
1,13,5,1,0.1515,0.21,0
1,14,5,1,0.1515,0.25,0
1,15,5,1,0.1212,0.26,0
1,16,5,1,0.1364,0.26,0
1,17,5,1,0.1212,0.28,0
1,18,5,1,0.1212,0.3,0
1,19,5,1,0.1061,0.3,0
1,20,5,1,0.0758,0.33,0
1,21,5,1,0.0758,0.38,0
1,22,5,1,0.0303,0.41,0
1,23,5,1,0.0455,0.38,0
1,0,6,0,0.0303,0.45,0
1,1,6,0,0.0,0.41,0
1,2,6,0,0.0303,0.41,0
1,3,6,0,0.0303,0.41,0
1,4,6,0,0.0152,0.48,0
1,6,6,0,0.0303,0.44,0
1,7,6,0,0.0152,0.44,0
1,8,6,0,0.0,0.44,0
1,9,6,0,0.0303,0.41,0
1,10,6,0,0.0606,0.41,1
1,11,6,0,0.0758,0.38,1
1,12,6,0,0.1061,0.38,1
1,13,6,0,0.1667,0.35,1
1,14,6,0,0.1364,0.33,1
1,15,6,0,0.1515,0.28,1
1,16,6,0,0.1364,0.28,1
1,17,6,0,0.197,0.28,0
1,18,6,0,0.0909,0.35,0
1,19,6,0,0.1061,0.35,0
1,20,6,0,0.0758,0.45,0
1,21,6,0,0.1061,0.41,0
1,22,6,0,0.1515,0.49,0
1,23,6,0,0.0758,0.57,0
1,0,0,0,0.0758,0.57,0
1,1,0,0,0.0758,0.57,0
1,2,0,0,0.0606,0.62,0
1,3,0,0,0.0606,0.62,0
1,5,0,0,0.0758,0.57,0
1,6,0,0,0.0758,0.57,0
1,7,0,0,0.1061,0.58,0
1,8,0,0,0.0758,0.62,0
1,9,0,0,0.0758,0.54,0
1,10,0,0,0.1061,0.46,1
1,11,0,0,0.1364,0.43,1
1,12,0,0,0.1212,0.37,1
1,13,0,0,0.1061,0.33,1
1,14,0,0,0.1364,0.28,1
1,15,0,0,0.1364,0.28,1
1,16,0,0,0.1364,0.26,1
1,17,0,0,0.1061,0.26,0
1,18,0,0,0.1212,0.3,0
1,19,0,0,0.1212,0.3,0
1,20,0,0,0.1061,0.36,0
1,21,0,0,0.1061,0.36,0
1,22,0,0,0.0909,0.38,0
1,23,0,0,0.0606,0.41,0
1,0,1,1,0.0606,0.41,0
1,1,1,1,0.0455,0.45,0
1,3,1,1,0.0303,0.45,0
1,4,1,1,0.0606,0.48,0
1,5,1,1,0.0606,0.48,0
1,6,1,1,0.0758,0.48,0
1,7,1,1,0.1212,0.48,0
1,8,1,1,0.1364,0.49,0
1,9,1,1,0.1515,0.41,0
1,10,1,1,0.1364,0.42,0
1,11,1,1,0.1212,0.46,0
1,12,1,1,0.1364,0.42,0
1,13,1,1,0.1364,0.43,0
1,14,1,1,0.1364,0.46,0
1,15,1,1,0.1667,0.4,0
1,16,1,1,0.1515,0.47,0
1,17,1,1,0.1212,0.5,0
1,18,1,1,0.1364,0.59,0
1,19,1,1,0.1515,0.54,0
1,20,1,1,0.1364,0.59,0
1,21,1,1,0.1515,0.63,0
1,22,1,1,0.1364,0.63,0
1,23,1,1,0.1515,0.64,0
1,0,2,1,0.1364,0.69,0
1,1,2,1,0.1667,0.69,0
1,2,2,1,0.1515,0.69,0
1,4,2,1,0.1667,0.74,0
1,5,2,1,0.1364,0.74,0
1,6,2,1,0.1818,0.74,0
1,7,2,1,0.1515,0.74,0
1,8,2,1,0.1818,0.74,0
1,9,2,1,0.2273,0.64,0
1,10,2,1,0.2424,0.6,0
1,11,2,1,0.2424,0.6,0
1,12,2,1,0.2879,0.56,0
1,13,2,1,0.2727,0.56,0
1,14,2,1,0.3333,0.45,0
1,15,2,1,0.3485,0.42,0
1,16,2,1,0.3485,0.42,0
1,17,2,1,0.3333,0.45,0
1,18,2,1,0.3182,0.49,0
1,19,2,1,0.2576,0.65,0
1,20,2,1,0.2273,0.65,0
1,21,2,1,0.2273,0.65,0
1,22,2,1,0.2273,0.64,0
1,23,2,1,0.2273,0.64,0
1,0,3,1,0.2273,0.69,0
1,1,3,1,0.2424,0.65,0
1,2,3,1,0.2273,0.69,0
1,5,3,1,0.1818,0.86,0
1,6,3,1,0.1818,0.86,0
1,7,3,1,0.2121,0.87,0
1,8,3,1,0.2121,0.87,0
1,9,3,1,0.2121,0.87,0
1,10,3,1,0.2121,0.93,0
1,11,3,1,0.197,0.93,0
1,12,3,1,0.197,0.93,0
1,13,3,1,0.197,0.93,0
1,14,3,1,0.197,0.93,0
1,15,3,1,0.1818,0.93,0
1,16,3,1,0.197,0.93,0
1,17,3,1,0.1818,0.93,0
1,16,4,1,0.2273,0.55,0
1,17,4,1,0.2424,0.55,0
1,18,4,1,0.2273,0.69,0
1,19,4,1,0.2273,0.69,0
1,20,4,1,0.2121,0.74,0
1,21,4,1,0.2121,0.74,0
1,22,4,1,0.2121,0.74,0
1,23,4,1,0.197,0.8,0
1,0,5,1,0.2121,0.75,0
1,1,5,1,0.2121,0.75,0
1,2,5,1,0.2121,0.75,0
1,3,5,1,0.2273,0.75,0
1,5,5,1,0.2121,0.8,0
1,6,5,1,0.197,0.8,0
1,7,5,1,0.197,0.86,0
1,8,5,1,0.197,0.86,0
1,9,5,1,0.2121,0.86,0
1,10,5,1,0.2121,0.86,0
1,11,5,1,0.2121,0.93,0
1,12,5,1,0.2121,0.93,0
1,13,5,1,0.2121,0.93,0
1,14,5,1,0.2727,0.8,0
1,15,5,1,0.2576,0.86,0
1,16,5,1,0.2727,0.8,0
1,17,5,1,0.2424,0.75,0
1,18,5,1,0.2273,0.75,0
1,19,5,1,0.2424,0.75,0
1,20,5,1,0.2273,0.7,0
1,21,5,1,0.2273,0.75,0
1,22,5,1,0.2121,0.65,0
1,23,5,1,0.2273,0.6,0
1,0,6,0,0.197,0.64,0
1,1,6,0,0.2273,0.64,0
1,2,6,0,0.2273,0.64,0
1,3,6,0,0.2121,0.64,0
1,4,6,0,0.1818,0.69,0
1,6,6,0,0.1818,0.64,0
1,7,6,0,0.1818,0.59,0
1,8,6,0,0.197,0.55,0
1,9,6,0,0.2121,0.59,0
1,10,6,0,0.2121,0.64,1
1,11,6,0,0.197,0.64,1
1,12,6,0,0.197,0.59,1
1,13,6,0,0.2273,0.55,1
1,14,6,0,0.2273,0.6,1
1,15,6,0,0.2121,0.69,1
1,16,6,0,0.2424,0.6,1
1,17,6,0,0.2879,0.6,0
1,18,6,0,0.2273,0.69,0
1,19,6,0,0.2121,0.69,0
1,20,6,0,0.2121,0.74,0
1,21,6,0,0.2121,0.74,0
1,22,6,0,0.197,0.8,0
1,23,6,0,0.197,0.8,0
1,0,0,0,0.1818,0.8,0
1,1,0,0,0.2121,0.8,0
1,2,0,0,0.2273,0.8,0
1,3,0,0,0.2121,0.93,0
1,4,0,0,0.2121,0.93,0
1,5,0,0,0.2121,0.86,0
1,7,0,0,0.2121,0.86,0
1,8,0,0,0.2121,0.86,0
1,9,0,0,0.2273,0.8,0
1,10,0,0,0.2424,0.8,1
1,11,0,0,0.2727,0.75,1
1,12,0,0,0.3182,0.52,1
1,13,0,0,0.2879,0.61,1
1,14,0,0,0.303,0.61,1
1,15,0,0,0.3333,0.56,1
1,16,0,0,0.3333,0.56,1
1,17,0,0,0.2879,0.56,0
1,18,0,0,0.2576,0.65,0
1,19,0,0,0.2576,0.65,0
1,20,0,0,0.2727,0.65,0
1,21,0,0,0.2424,0.7,0
1,22,0,0,0.2273,0.7,0
1,23,0,0,0.2121,0.65,0
1,0,1,1,0.2273,0.65,0
1,1,1,1,0.2121,0.64,0
1,2,1,1,0.2273,0.64,0
1,3,1,1,0.2273,0.64,0
1,4,1,1,0.197,0.59,0
1,5,1,1,0.1667,0.64,0
1,6,1,1,0.1364,0.69,0
1,7,1,1,0.1364,0.64,0
1,8,1,1,0.1364,0.59,0
1,9,1,1,0.1364,0.59,0
1,10,1,1,0.1515,0.59,0
1,11,1,1,0.1515,0.59,0
1,12,1,1,0.2121,0.55,0
1,13,1,1,0.2273,0.59,0
1,14,1,1,0.197,0.55,0
1,15,1,1,0.1818,0.59,0
1,16,1,1,0.1818,0.56,0
1,17,1,1,0.1515,0.59,0
1,18,1,1,0.1515,0.55,0
1,19,1,1,0.3182,0.61,0
1,20,1,1,0.1667,0.59,0
1,21,1,1,0.197,0.59,0
1,22,1,1,0.1818,0.59,0
1,23,1,1,0.197,0.64,0
2,0,2,1,0.1818,0.64,0
2,1,2,1,0.1818,0.69,0
2,2,2,1,0.2273,0.69,0
2,3,2,1,0.2273,0.69,0
2,5,2,1,0.2121,0.93,0
2,6,2,1,0.2121,0.93,0
2,7,2,1,0.2273,0.93,0
2,8,2,1,0.2273,0.93,0
2,9,2,1,0.2273,0.93,0
2,10,2,1,0.2273,0.93,0
2,11,2,1,0.2424,0.86,0
2,12,2,1,0.2576,0.86,0
2,13,2,1,0.2576,0.86,0
2,14,2,1,0.2576,0.8,0
2,15,2,1,0.2879,0.75,0
2,16,2,1,0.2424,0.75,0
2,17,2,1,0.2879,0.75,0
2,18,2,1,0.2576,0.81,0
2,19,2,1,0.2424,0.81,0
2,20,2,1,0.2273,0.87,0
2,21,2,1,0.2273,0.87,0
2,22,2,1,0.2576,0.87,0
2,23,2,1,0.197,0.93,0
2,0,3,1,0.2424,0.93,0
2,1,3,1,0.2273,0.93,0
2,2,3,1,0.2273,0.93,0
2,3,3,1,0.2273,0.93,0
2,4,3,1,0.2121,0.93,0
2,5,3,1,0.2424,0.93,0
2,6,3,1,0.2424,0.93,0
2,7,3,1,0.2121,0.93,0
2,8,3,1,0.2121,0.93,0
2,9,3,1,0.2576,0.93,0
2,10,3,1,0.2727,1.0,0
2,11,3,1,0.2273,0.93,0
2,12,3,1,0.2273,0.93,0
2,13,3,1,0.3333,0.93,0
2,14,3,1,0.3939,0.82,0
2,15,3,1,0.3939,0.76,0
2,16,3,1,0.3333,0.71,0
2,17,3,1,0.3182,0.53,0
2,18,3,1,0.2879,0.42,0
2,19,3,1,0.2424,0.45,0
2,20,3,1,0.197,0.48,0
2,21,3,1,0.197,0.47,0
2,22,3,1,0.2121,0.44,0
2,23,3,1,0.1667,0.44,0
2,0,4,1,0.1667,0.4,0
2,1,4,1,0.1515,0.44,0
2,2,4,1,0.1667,0.43,0
